datahora;temperatura;radiacao
08/10/2021 16:16;25;418
08/10/2021 16:31;24.8;377
08/10/2021 16:47;24.2;346
08/10/2021 17:01;23.8;332
08/10/2021 17:16;23.9;280
08/10/2021 17:31;24.1;228
08/10/2021 17:47;23.7;197
08/10/2021 18:01;23.1;148
08/10/2021 18:17;21.6;75
08/10/2021 18:31;19.7;52
08/10/2021 18:46;18.2;12
08/10/2021 19:02;17.5;4
08/10/2021 19:17;17.1;1
08/10/2021 19:32;16.6;0
08/10/2021 19:46;16.2;0
08/10/2021 20:01;15.9;0
08/10/2021 20:17;15.8;0
08/10/2021 20:31;15.7;0
08/10/2021 20:46;15.8;0
08/10/2021 21:01;15.6;0
08/10/2021 21:17;15.6;0
08/10/2021 21:32;15.6;0
08/10/2021 21:47;15.7;0
08/10/2021 22:02;15.7;0
08/10/2021 22:17;15.8;0
08/10/2021 22:32;15.7;0
08/10/2021 22:47;15.8;0
08/10/2021 23:02;15.9;0
08/10/2021 23:17;16;0
08/10/2021 23:32;15.9;0
08/10/2021 23:47;15.9;0
09/10/2021 00:02;15.9;0
09/10/2021 00:17;15.8;0
09/10/2021 00:32;15.8;0
09/10/2021 00:47;15.7;0
09/10/2021 01:02;15.6;0
09/10/2021 01:17;15.4;0
09/10/2021 01:32;15.1;0
09/10/2021 01:47;15;0
09/10/2021 02:02;14.7;0
09/10/2021 02:17;14.6;0
09/10/2021 02:32;14.6;0
09/10/2021 02:47;14.6;0
09/10/2021 03:02;14.8;0
09/10/2021 03:17;14.6;0
09/10/2021 03:32;14.4;0
09/10/2021 03:47;14.3;0
09/10/2021 04:02;14.3;0
09/10/2021 04:17;14.2;0
09/10/2021 04:32;14.2;0
09/10/2021 04:47;14.3;0
09/10/2021 05:02;14.2;0
09/10/2021 05:17;14.3;0
09/10/2021 05:32;14.3;0
09/10/2021 05:47;14.3;0
09/10/2021 06:02;14.2;0
09/10/2021 06:17;14.3;0
09/10/2021 06:32;14.3;0
09/10/2021 06:47;14.4;0
09/10/2021 07:02;14.4;0
09/10/2021 07:17;14.4;0
09/10/2021 07:32;14.5;0
09/10/2021 07:47;14.5;1
09/10/2021 08:02;14.5;4
09/10/2021 08:17;14.6;9
09/10/2021 08:32;14.6;19
09/10/2021 08:47;14.6;29
09/10/2021 09:02;14.7;39
09/10/2021 09:17;14.8;63
09/10/2021 09:32;14.8;85
09/10/2021 09:47;15.1;111
09/10/2021 10:02;15.2;149
09/10/2021 10:17;15.4;185
09/10/2021 10:32;15.6;211
09/10/2021 10:47;16.3;180
09/10/2021 11:02;16.5;215
09/10/2021 11:17;17;361
09/10/2021 11:32;18.2;442
09/10/2021 11:47;18.7;436
09/10/2021 12:02;19.2;396
09/10/2021 12:17;19.9;517
09/10/2021 12:32;20.6;562
09/10/2021 12:47;20.7;553
09/10/2021 13:02;20.4;542
09/10/2021 13:17;20.4;534
09/10/2021 13:32;20.6;601
09/10/2021 13:47;20.9;608
09/10/2021 14:02;20.1;523
09/10/2021 14:17;19.7;460
09/10/2021 14:32;19.3;373
09/10/2021 14:47;18.6;283
09/10/2021 15:02;18.6;336
09/10/2021 15:17;18.9;217
09/10/2021 15:32;19.4;446
09/10/2021 15:47;20.5;516
09/10/2021 16:02;20.2;168
09/10/2021 16:17;20;339
09/10/2021 16:32;20.2;360
09/10/2021 16:47;20.3;414
09/10/2021 17:02;20.6;341
09/10/2021 17:17;20.1;161
09/10/2021 17:32;19.5;195
09/10/2021 17:47;19.7;164
09/10/2021 18:02;20;67
09/10/2021 18:17;19.8;56
09/10/2021 18:32;19.2;58
09/10/2021 18:47;18.8;29
09/10/2021 19:02;18.2;9
09/10/2021 19:17;17.8;2
09/10/2021 19:32;17.6;0
09/10/2021 19:47;17.2;0
09/10/2021 20:02;16.8;0
09/10/2021 20:17;16.6;0
09/10/2021 20:32;16.5;0
09/10/2021 20:47;16.2;0
09/10/2021 21:02;15.9;0
09/10/2021 21:17;15.8;0
09/10/2021 21:32;15.7;0
09/10/2021 21:47;15.8;0
09/10/2021 22:02;15.9;0
09/10/2021 22:17;15.8;0
09/10/2021 22:32;15.8;0
09/10/2021 22:47;16;0
09/10/2021 23:02;16;0
09/10/2021 23:17;16.2;0
09/10/2021 23:32;16;0
09/10/2021 23:47;15.9;0
10/10/2021 00:02;15.8;0
10/10/2021 00:17;15.8;0
10/10/2021 00:32;15.6;0
10/10/2021 00:47;15.6;0
10/10/2021 01:02;15.6;0
10/10/2021 01:17;15.5;0
10/10/2021 01:32;15.3;0
10/10/2021 01:47;15.4;0
10/10/2021 02:02;15.5;0
10/10/2021 02:17;15.6;0
10/10/2021 02:32;15.5;0
10/10/2021 02:47;15.7;0
10/10/2021 03:02;15.6;0
10/10/2021 03:17;15.7;0
10/10/2021 03:32;15.8;0
10/10/2021 03:47;15.8;0
10/10/2021 04:02;15.5;0
10/10/2021 04:17;15.5;0
10/10/2021 04:32;15.6;0
10/10/2021 04:47;16;0
10/10/2021 05:02;16;0
10/10/2021 05:17;15.7;0
10/10/2021 05:32;15.7;0
10/10/2021 05:47;15.8;0
10/10/2021 06:02;16.1;0
10/10/2021 06:17;16.2;0
10/10/2021 06:32;16.5;0
10/10/2021 06:47;16.8;0
10/10/2021 07:02;17;0
10/10/2021 07:17;17.1;0
10/10/2021 07:32;17.4;0
10/10/2021 07:47;17.2;3
10/10/2021 08:02;17.1;9
10/10/2021 08:17;17.1;15
10/10/2021 08:32;17.2;19
10/10/2021 08:47;17.2;23
10/10/2021 09:02;17.5;107
10/10/2021 09:17;18;166
10/10/2021 09:32;18.7;189
10/10/2021 09:47;19.3;236
10/10/2021 10:02;19.4;200
10/10/2021 10:17;19.5;37
10/10/2021 10:32;19.7;35
10/10/2021 10:47;19.9;40
10/10/2021 11:02;20.1;324
10/10/2021 11:17;20.7;469
10/10/2021 11:32;21.1;499
10/10/2021 11:47;21.9;519
10/10/2021 12:02;22.1;482
10/10/2021 12:17;22.6;520
10/10/2021 12:32;22.9;581
10/10/2021 12:47;23.6;589
10/10/2021 13:02;23.7;556
10/10/2021 13:17;23.9;528
10/10/2021 13:32;24.5;588
10/10/2021 13:47;25.1;568
10/10/2021 14:02;25.2;575
10/10/2021 14:17;25.5;551
10/10/2021 14:32;25.6;521
10/10/2021 14:47;25.7;292
10/10/2021 15:02;25.3;267
10/10/2021 15:17;25.5;256
10/10/2021 15:32;25.5;349
10/10/2021 15:47;25.7;280
10/10/2021 16:02;25.6;203
10/10/2021 16:17;25.3;174
10/10/2021 16:32;25;164
10/10/2021 16:47;24.9;248
10/10/2021 17:02;25.3;283
10/10/2021 17:17;25.4;284
10/10/2021 17:32;25.7;280
10/10/2021 17:47;25.9;199
10/10/2021 18:02;25.7;92
10/10/2021 18:17;25.2;40
10/10/2021 18:32;24.9;67
10/10/2021 18:47;24.2;15
10/10/2021 19:02;23.6;8
10/10/2021 19:17;22.8;1
10/10/2021 19:32;22.3;0
10/10/2021 19:47;21.9;0
10/10/2021 20:02;21.4;0
10/10/2021 20:17;21.2;0
10/10/2021 20:32;20.7;0
10/10/2021 20:47;20.6;0
10/10/2021 21:02;20.3;0
10/10/2021 21:17;19.8;0
10/10/2021 21:32;19.5;0
10/10/2021 21:47;19.3;0
10/10/2021 22:02;19;0
10/10/2021 22:17;18.9;0
10/10/2021 22:32;18.9;0
10/10/2021 22:47;18.8;0
10/10/2021 23:02;18.8;0
10/10/2021 23:17;18.5;0
10/10/2021 23:32;18.4;0
10/10/2021 23:47;18.4;0
11/10/2021 00:02;18.2;0
11/10/2021 00:17;18.1;0
11/10/2021 00:32;18.3;0
11/10/2021 00:47;18.5;0
11/10/2021 01:02;18.6;0
11/10/2021 01:17;18.3;0
11/10/2021 01:32;17.7;0
11/10/2021 01:47;17.6;0
11/10/2021 02:02;17.6;0
11/10/2021 02:17;17.5;0
11/10/2021 02:32;17.4;0
11/10/2021 02:47;17.5;0
11/10/2021 03:02;17.5;0
11/10/2021 03:17;17.6;0
11/10/2021 03:32;17.8;0
11/10/2021 03:47;17.6;0
11/10/2021 04:02;17.5;0
11/10/2021 04:17;17.7;0
11/10/2021 04:32;17.7;0
11/10/2021 04:47;17.7;0
11/10/2021 05:02;17.7;0
11/10/2021 05:17;17.4;0
11/10/2021 05:32;17.2;0
11/10/2021 05:47;17;0
11/10/2021 06:02;16.9;0
11/10/2021 06:17;17.1;0
11/10/2021 06:32;17.3;0
11/10/2021 06:47;17.4;0
11/10/2021 07:02;17.3;0
11/10/2021 07:17;17.1;0
11/10/2021 07:32;17.2;0
11/10/2021 07:47;17.2;7
11/10/2021 08:02;17.2;19
11/10/2021 08:17;17.6;32
11/10/2021 08:32;17.8;48
11/10/2021 08:47;18;68
11/10/2021 09:02;18.4;134
11/10/2021 09:17;18.9;133
11/10/2021 09:32;19;132
