datahora, temperatura_C, pressão_Pa, humidade_Rel, radiação_W/m2
2021-11-25 15:32:00,12.80,99.8,70.00,36.00
2021-11-25 15:48:00,12.70,99.9,70.00,33.00
2021-11-25 16:17:00,12.10,99.9,70.00,28.00
2021-11-25 16:48:00,11.80,99.9,80.00,15.00
2021-11-25 17:17:00,11.10,99.9,80.00,3.00
2021-11-25 17:47:00,10.60,100.0,80.00,0.00
2021-11-25 18:17:00,10.70,100.0,80.00,0.00
2021-11-25 18:17:00,10.70,100.0,80.00,0.00
2021-11-25 18:48:00,10.20,100.1,80.00,0.00
2021-11-25 19:17:00,10.10,100.1,70.00,0.00
2021-11-25 19:48:00,9.90,100.2,70.00,0.00
2021-11-25 20:17:00,9.70,100.2,70.00,0.00
2021-11-25 20:48:00,9.50,100.2,70.00,0.00
2021-11-25 21:17:00,9.90,100.2,70.00,0.00
2021-11-25 21:48:00,10.10,100.2,70.00,0.00
2021-11-25 22:17:00,10.00,100.2,70.00,0.00
2021-11-25 22:48:00,9.90,100.2,70.00,0.00
2021-11-25 23:17:00,9.80,100.3,70.00,0.00
2021-11-25 23:48:00,9.20,100.3,70.00,0.00
2021-11-26 00:18:00,8.80,100.3,70.00,0.00
2021-11-26 00:18:00,8.80,100.3,70.00,0.00
2021-11-26 00:48:00,8.60,100.3,70.00,0.00
2021-11-26 01:17:00,8.30,100.3,70.00,0.00
2021-11-26 01:48:00,8.40,100.3,70.00,0.00
2021-11-26 02:18:00,8.20,100.4,70.00,0.00
2021-11-26 02:48:00,8.00,100.4,70.00,0.00
2021-11-26 03:18:00,7.80,100.3,80.00,0.00
2021-11-26 03:48:00,7.80,100.3,80.00,0.00
2021-11-26 04:18:00,7.50,100.4,80.00,0.00
2021-11-26 04:48:00,7.60,100.4,80.00,0.00
2021-11-26 05:18:00,7.00,100.4,80.00,0.00
2021-11-26 05:48:00,6.60,100.4,80.00,0.00
2021-11-26 06:18:00,6.50,100.4,80.00,0.00
2021-11-26 06:48:00,6.30,100.4,80.00,0.00
2021-11-26 07:18:00,6.60,100.4,80.00,0.00
2021-11-26 07:48:00,6.50,100.5,80.00,5.00
2021-11-26 08:18:00,6.60,100.5,80.00,13.00
2021-11-26 08:48:00,6.50,100.5,80.00,21.00
2021-11-26 09:18:00,7.50,100.5,80.00,25.00
2021-11-26 09:48:00,8.20,100.6,80.00,212.00
2021-11-26 10:18:00,9.00,100.6,70.00,239.00
2021-11-26 10:48:00,10.00,100.6,70.00,162.00
2021-11-26 11:18:00,11.00,100.6,60.00,34.00
2021-11-26 11:48:00,11.10,100.6,60.00,205.00
2021-11-26 12:18:00,11.30,100.5,60.00,341.00
2021-11-26 12:48:00,11.80,100.5,60.00,402.00
2021-11-26 13:18:00,12.60,100.5,60.00,398.00
2021-11-26 13:33:00,13.00,100.5,60.00,376.00
